question,answer,chunk_id,topic,dataset_type
ReginaとMelinaはColumbia City Balletでどのような関係ですか？,ReginaとMelinaは母娘関係です。40歳のReginaが同カンパニーでの最後のシーズンを迎える一方、18歳の娘Melinaは同シーズンにトレーニーとして初参加し、同じステージを共有しています。,cc_news_1per_chunk_0,母娘関係・同シーズン共演,cc_news_1per_chunks
ナッツクラッカーでReginaとMelinaはそれぞれどのような役を担当していますか？,Reginaは「スノークイーン」を担当し、MelinaはSnowコールドダンサーとして出演しています。また、二人ともアラビアンのディヴェルティスマンにも出演しており、同時にステージに立っています。,cc_news_1per_chunk_0,ナッツクラッカーでの役割,cc_news_1per_chunks
Reginaはいつ引退し、Melinaのキャリアはどのように始まりますか？,Reginaは3月にステージから引退する予定です。一方、娘のMelinaはトレーニーとして同カンパニーでキャリアをスタートさせており、今シーズンが二人が共演できる唯一の機会となっています。,cc_news_1per_chunk_0,Reginaの引退・Melinaのキャリア開始,cc_news_1per_chunks
ピーター・マーティンスが休職を申請した理由は何ですか？,ニューヨーク・シティ・バレエが彼に向けられた性的ハラスメントの疑惑について内部調査を行う間、マーティンスはNYCBとスクール・オブ・アメリカン・バレエの両方から一時的な休職を申請しました。,cc_news_1per_chunk_1,ピーター・マーティンスの休職と性的ハラスメント疑惑,cc_news_1per_chunks
ニューヨーク・シティ・バレエの暫定リーダーシップチームを率いているのは誰ですか？,バレエマスターで元プリンシパルダンサーのジョナサン・スタッフォードが暫定チームを率いています。,cc_news_1per_chunk_1,ニューヨーク・シティ・バレエの暫定リーダーシップチーム,cc_news_1per_chunks
暫定チームのメンバー構成について教えてください。,チームはジョナサン・スタッフォード（バレエマスター）、ジャスティン・ペック（常駐振付家・ソリスト）、クレイグ・ホール（バレエマスター）、レベッカ・クローン（バレエマスター）の4名で構成されています。,cc_news_1per_chunk_1,暫定チームのメンバー構成,cc_news_1per_chunks
暫定チームはどのような職務を担当しますか？,暫定チームはスケジュール管理、キャスティング、リハーサルの指揮など、会社の日常的な芸術面のニーズを担当します。,cc_news_1per_chunk_1,暫定チームの職務内容,cc_news_1per_chunks
ペンシルバニア・バレエとボストン・バレエはスーパーボウルに向けてどのような企画を行いましたか？,それぞれが応援するチーム（フィラデルフィア・イーグルスとニューイングランド・ペイトリオッツ）を応援するため、スーパーボウルをテーマにした振付パフォーマンス動画を制作・公開しました。,cc_news_1per_chunk_2,スーパーボウル企画,cc_news_1per_chunks
PABのダンサーたちはイーグルス応援パフォーマンスでどのような内容を披露しましたか？,イーグルスグリーンの衣装を着て、フェッテターン、高いジャンプ、そしてチーム名「バーズ（鳥）」にちなんだスワンアームズを取り入れたテンポの速いルーティンを披露しました。,cc_news_1per_chunk_2,PABパフォーマンス内容,cc_news_1per_chunks
ボストン・バレエの動画にはどのようなダンサーが出演し、どのようなバランシン要素が含まれていましたか？,プリンシパルのポール・クレイグとソリストのデレク・ダンが出演し、「放蕩息子（Prodigal Son）」の小道具を使ったバランシン風のトリックが盛り込まれていました。,cc_news_1per_chunk_2,ボストン・バレエ動画,cc_news_1per_chunks
フットボールを楽しむ新しいお気に入りの方法とはどのようなものですか？,これが公式に認められた、フットボールの楽しさに参加するための新しいお気に入りの方法です。具体的な方法として紹介されています。,cc_news_1per_chunk_3,フットボール観戦・参加,cc_news_1per_chunks
