question,answer
ReginaとMelinaはColumbia City Balletでどのような関係ですか？,ReginaとMelinaは母娘関係です。40歳のReginaが同カンパニーでの最後のシーズンを迎える一方、18歳の娘Melinaは同シーズンにトレーニーとして初参加し、同じステージを共有しています。
ナッツクラッカーでReginaとMelinaはそれぞれどのような役を担当していますか？,Reginaは「スノークイーン」を担当し、MelinaはSnowコールドダンサーとして出演しています。また、二人ともアラビアンのディヴェルティスマンにも出演しており、同時にステージに立っています。
Reginaはいつ引退し、Melinaのキャリアはどのように始まりますか？,Reginaは3月にステージから引退する予定です。一方、娘のMelinaはトレーニーとして同カンパニーでキャリアをスタートさせており、今シーズンが二人が共演できる唯一の機会となっています。
ピーター・マーティンスが休職を申請した理由は何ですか？,ニューヨーク・シティ・バレエが彼に向けられた性的ハラスメントの疑惑について内部調査を行う間、マーティンスはNYCBとスクール・オブ・アメリカン・バレエの両方から一時的な休職を申請しました。
ニューヨーク・シティ・バレエの暫定リーダーシップチームを率いているのは誰ですか？,バレエマスターで元プリンシパルダンサーのジョナサン・スタッフォードが暫定チームを率いています。
暫定チームのメンバー構成について教えてください。,チームはジョナサン・スタッフォード（バレエマスター）、ジャスティン・ペック（常駐振付家・ソリスト）、クレイグ・ホール（バレエマスター）、レベッカ・クローン（バレエマスター）の4名で構成されています。
暫定チームはどのような職務を担当しますか？,暫定チームはスケジュール管理、キャスティング、リハーサルの指揮など、会社の日常的な芸術面のニーズを担当します。
ペンシルバニア・バレエとボストン・バレエはスーパーボウルに向けてどのような企画を行いましたか？,それぞれが応援するチーム（フィラデルフィア・イーグルスとニューイングランド・ペイトリオッツ）を応援するため、スーパーボウルをテーマにした振付パフォーマンス動画を制作・公開しました。
PABのダンサーたちはイーグルス応援パフォーマンスでどのような内容を披露しましたか？,イーグルスグリーンの衣装を着て、フェッテターン、高いジャンプ、そしてチーム名「バーズ（鳥）」にちなんだスワンアームズを取り入れたテンポの速いルーティンを披露しました。
ボストン・バレエの動画にはどのようなダンサーが出演し、どのようなバランシン要素が含まれていましたか？,プリンシパルのポール・クレイグとソリストのデレク・ダンが出演し、「放蕩息子（Prodigal Son）」の小道具を使ったバランシン風のトリックが盛り込まれていました。
フットボールを楽しむ新しいお気に入りの方法とはどのようなものですか？,これが公式に認められた、フットボールの楽しさに参加するための新しいお気に入りの方法です。具体的な方法として紹介されています。
